Date,Hour,Total_series_values
2016-07-26,3,1807.5
2016-07-26,4,1817.5
2016-07-26,5,2256.9
2016-07-26,6,2600.8
2016-07-26,7,3545.5
2016-07-26,8,4329.4
2016-07-26,9,4816.3
2016-07-26,10,5221
2016-07-26,11,5519.5
2016-07-26,12,5649.9
2016-07-26,13,5782.2
2016-07-26,14,5663.8
2016-07-26,15,5453
2016-07-26,16,5082
2016-07-26,17,4871
2016-07-26,18,4920
2016-07-26,19,4585
2016-07-26,20,4244.4
2016-07-26,21,3862.8
2016-07-26,22,3355.9
2016-07-26,23,2464.3
2016-07-27,0,1969
2016-07-27,1,1867
2016-07-27,2,1827.9
2016-07-27,3,1828.3
2016-07-27,4,1878.5
2016-07-27,5,2214.4
2016-07-27,6,2504.8
2016-07-27,7,3404.5
2016-07-27,8,4065
2016-07-27,9,4436.5
2016-07-27,10,5001.9
2016-07-27,11,5311.7
2016-07-27,12,5337.8
2016-07-27,13,5544.5
2016-07-27,14,5542.5
2016-07-27,15,5347
2016-07-27,16,5185
2016-07-27,17,5168.9
2016-07-27,18,4850.3
2016-07-27,19,4478.9
2016-07-27,20,4343.2
2016-07-27,21,4073.7
2016-07-27,22,3553.3
2016-07-27,23,2715
2016-07-28,0,2034.9
2016-07-28,1,1867.2
2016-07-28,2,1849.8
2016-07-28,3,1821.4
2016-07-28,4,1910.7
2016-07-28,5,2328.7
2016-07-28,6,2577.8
2016-07-28,7,3406.4
2016-07-28,8,4008.2
2016-07-28,9,4592.2
2016-07-28,10,4935.8
2016-07-28,11,5191.5
2016-07-28,12,5298
2016-07-28,13,5339
2016-07-28,14,5306.9
2016-07-28,15,5127.3
2016-07-28,16,4963.4
2016-07-28,17,4732.2
2016-07-28,18,4685.2
2016-07-28,19,4490.8
2016-07-28,20,4368.5
2016-07-28,21,4075.5
2016-07-28,22,3243
2016-07-28,23,2387.9
2016-07-29,0,1991.7
2016-07-29,1,1828.8
2016-07-29,2,1752.5
2016-07-29,3,1787.5
2016-07-29,4,1875.4
2016-07-29,5,2235.2
2016-07-29,6,2505.3
2016-07-29,7,3389
2016-07-29,8,3981.9
2016-07-29,9,4552.2
2016-07-29,10,5010.8
2016-07-29,11,5188.5
2016-07-29,12,5340.9
2016-07-29,13,5448.3
2016-07-29,14,5383.9
2016-07-29,15,5021.3
2016-07-29,16,4760
2016-07-29,17,4640.4
2016-07-29,18,4332.2
2016-07-29,19,3907.8
2016-07-29,20,3541.5
2016-07-29,21,3267.9
2016-07-29,22,2857.8
2016-07-29,23,2540.4
2016-07-30,0,2064.3
2016-07-30,1,1873.4
2016-07-30,2,1884.3
2016-07-30,3,1996
2016-07-30,4,2056.4
2016-07-30,5,2124.3
2016-07-30,6,2123
2016-07-30,7,2188
2016-07-30,8,2346.4
2016-07-30,9,2652.8
2016-07-30,10,2785.9
2016-07-30,11,2816.8
2016-07-30,12,2856.5
2016-07-30,13,2834.4
2016-07-30,14,2854.7
2016-07-30,15,2849.3
2016-07-30,16,2841
2016-07-30,17,2839.4
2016-07-30,18,2935.2
2016-07-30,19,2832.8
2016-07-30,20,2702.5
2016-07-30,21,2269
2016-07-30,22,1944.4
2016-07-30,23,1897.7
2016-07-31,0,1846.8
2016-07-31,1,1810
2016-07-31,2,1794.4
2016-07-31,3,1794.2
2016-07-31,4,1795.2
2016-07-31,5,1958.7
2016-07-31,6,2064.8
2016-07-31,7,2038.5
2016-07-31,8,2006
2016-07-31,9,2186.9
2016-07-31,10,2217.7
2016-07-31,11,2148.7
2016-07-31,12,2089.3
2016-07-31,13,2154.9
2016-07-31,14,2166.2
2016-07-31,15,2171.7
2016-07-31,16,2185.7
2016-07-31,17,2581.3
2016-07-31,18,2934
2016-07-31,19,2910.5
2016-07-31,20,2692.9
2016-07-31,21,2427.8
2016-07-31,22,2045
2016-07-31,23,1811.9
2016-08-01,0,1761.7
2016-08-01,1,1749.3
2016-08-01,2,1700.4
2016-08-01,3,1741.3
2016-08-01,4,1823
2016-08-01,5,2216
2016-08-01,6,2474.4
2016-08-01,7,3322.3
2016-08-01,8,3920.9
2016-08-01,9,4404.7
2016-08-01,10,4897.3
2016-08-01,11,5130.4
2016-08-01,12,5231.7
2016-08-01,13,5351.3
2016-08-01,14,5297
2016-08-01,15,5091
2016-08-01,16,4840
2016-08-01,17,4684.5
2016-08-01,18,4411
2016-08-01,19,3855.4
2016-08-01,20,3688.2
2016-08-01,21,3442.8
2016-08-01,22,2947.4
2016-08-01,23,2258.7
2016-08-02,0,1892.2
2016-08-02,1,1790.7
2016-08-02,2,1764.3
2016-08-02,3,1796
2016-08-02,4,1804.4
2016-08-02,5,2172.2
2016-08-02,6,2524.7
2016-08-02,7,3486.2
2016-08-02,8,4092.3
2016-08-02,9,4613
2016-08-02,10,4986.9
2016-08-02,11,5089.2
2016-08-02,12,5175.8
2016-08-02,13,5351.4
2016-08-02,14,5343.3
2016-08-02,15,5136.5
2016-08-02,16,4843.9
2016-08-02,17,4704.8
2016-08-02,18,4652.5
2016-08-02,19,4370.5
2016-08-02,20,4103
2016-08-02,21,3585.9
2016-08-02,22,3109.2
2016-08-02,23,2385.3
2016-08-03,0,1902.5
2016-08-03,1,1766.5
2016-08-03,2,1768.5
2016-08-03,3,1809.4
2016-08-03,4,1847.3
2016-08-03,5,2204.9
2016-08-03,6,2480.2
2016-08-03,7,3348.3
2016-08-03,8,3881.9
2016-08-03,9,4677.8
2016-08-03,10,5169
2016-08-03,11,5188
2016-08-03,12,5390.4
2016-08-03,13,5476.3
2016-08-03,14,5521.4
2016-08-03,15,5380.7
2016-08-03,16,5126.7
2016-08-03,17,4947.3
2016-08-03,18,4735.4
2016-08-03,19,4380.2
2016-08-03,20,4029.2
2016-08-03,21,3723.8
2016-08-03,22,3160.4
2016-08-03,23,2880.2
2016-08-04,0,2867.3
2016-08-04,1,2051
2016-08-04,2,1773.9
2016-08-04,3,1766.3
2016-08-04,4,1833.9
2016-08-04,5,2214.2
2016-08-04,6,2564.2
2016-08-04,7,3530.7
2016-08-04,8,4193.8
2016-08-04,9,4688.9
2016-08-04,10,4989.3
2016-08-04,11,5118.5
2016-08-04,12,5097
2016-08-04,13,5188.5
2016-08-04,14,5006.5
2016-08-04,15,5135
2016-08-04,16,5040
2016-08-04,17,4883.4
2016-08-04,18,4752.3
2016-08-04,19,4660.9
2016-08-04,20,4388.3
2016-08-04,21,3850.4
2016-08-04,22,3320.3
2016-08-04,23,2812.4
2016-08-05,0,2169.2
2016-08-05,1,1878.7
2016-08-05,2,1839.8
2016-08-05,3,1794.4
2016-08-05,4,1865.3
2016-08-05,5,2312.5
2016-08-05,6,2637.4
2016-08-05,7,3560.8
2016-08-05,8,4253
2016-08-05,9,4767.5
2016-08-05,10,5029.9
2016-08-05,11,5208.7
2016-08-05,12,5241.2
2016-08-05,13,5387.2
2016-08-05,14,5193.3
2016-08-05,15,5065.5
2016-08-05,16,4991.5
2016-08-05,17,4841.5
2016-08-05,18,4656.4
2016-08-05,19,4396.2
2016-08-05,20,4037.2
2016-08-05,21,3743.2
2016-08-05,22,3188.2
2016-08-05,23,2646.3
2016-08-06,0,2070.9
2016-08-06,1,1868.7
2016-08-06,2,1821.2
2016-08-06,3,1780.3
2016-08-06,4,1800
2016-08-06,5,2077
2016-08-06,6,2266.5
2016-08-06,7,2244.5
2016-08-06,8,2443.5
2016-08-06,9,2586.5
2016-08-06,10,2797.5
2016-08-06,11,2971
2016-08-06,12,2962.4
2016-08-06,13,2937.3
2016-08-06,14,2881.5
2016-08-06,15,2818.4
2016-08-06,16,2868.3
2016-08-06,17,2834.5
2016-08-06,18,2813.9
2016-08-06,19,2663.2
2016-08-06,20,2592.2
2016-08-06,21,2489.2
2016-08-06,22,2031.8
2016-08-06,23,1848
2016-08-07,0,1756
2016-08-07,1,1753.4
2016-08-07,2,1744.7
2016-08-07,3,1725.7
2016-08-07,4,1734.7
2016-08-07,5,1967.8
2016-08-07,6,2116.9
2016-08-07,7,2792.8
2016-08-07,8,3181.9
2016-08-07,9,3597.7
2016-08-07,10,4289.3
2016-08-07,11,4490.5
2016-08-07,12,4495.5
2016-08-07,13,4531.4
2016-08-07,14,4523.7
2016-08-07,15,4424.2
2016-08-07,16,4177.8
2016-08-07,17,3857
2016-08-07,18,3694.5
2016-08-07,19,3029.9
2016-08-07,20,2564.3
2016-08-07,21,2422.4
2016-08-07,22,2269.7
2016-08-07,23,1985.2
2016-08-08,0,1871.3
2016-08-08,1,1848
2016-08-08,2,1829.9
2016-08-08,3,1849.2
2016-08-08,4,1893.2
2016-08-08,5,2296.7
2016-08-08,6,2612.3
2016-08-08,7,3484.9
2016-08-08,8,4166.8
2016-08-08,9,4706.9
2016-08-08,10,5025.7
2016-08-08,11,5233.3
2016-08-08,12,5387.9
2016-08-08,13,5459.8
2016-08-08,14,5397.9
2016-08-08,15,5075.3
2016-08-08,16,4918.4
2016-08-08,17,4785.8
2016-08-08,18,4549.4
2016-08-08,19,4137.3
2016-08-08,20,3899.9
2016-08-08,21,3621.3
2016-08-08,22,3095
2016-08-08,23,2359.5
2016-08-09,0,1936
2016-08-09,1,1824
2016-08-09,2,1818
2016-08-09,3,1826.9
2016-08-09,4,1845.7
2016-08-09,5,2215.7
2016-08-09,6,2522.3
2016-08-09,7,3429.4
2016-08-09,8,4051.7
2016-08-09,9,4579.8
2016-08-09,10,4933.4
2016-08-09,11,5191.8
2016-08-09,12,5182
2016-08-09,13,5328.4
2016-08-09,14,5467.7
2016-08-09,15,5195.2
2016-08-09,16,4880.7
2016-08-09,17,4757.3
2016-08-09,18,4746.9
2016-08-09,19,4637.3
2016-08-09,20,4278.4
2016-08-09,21,3812.7
2016-08-09,22,3376.7
2016-08-09,23,2677.8
2016-08-10,0,2220.5
2016-08-10,1,2108.5
2016-08-10,2,2071.5
2016-08-10,3,2064.4
2016-08-10,4,2144.7
2016-08-10,5,2369.8
2016-08-10,6,2598
2016-08-10,7,3352.5
2016-08-10,8,3890.5
2016-08-10,9,4459.4
2016-08-10,10,4789.2
2016-08-10,11,4922.8
2016-08-10,12,5000.5
2016-08-10,13,5205.5
2016-08-10,14,5167.5
2016-08-10,15,4907.5
2016-08-10,16,4791.5
2016-08-10,17,4739
2016-08-10,18,4606.9
2016-08-10,19,4382.7
2016-08-10,20,4205.7
2016-08-10,21,3925.7
2016-08-10,22,3470.2
2016-08-10,23,2712.2
2016-08-11,0,2038.3
2016-08-11,1,1833
2016-08-11,2,1810
2016-08-11,3,1803.5
2016-08-11,4,1859.9
2016-08-11,5,2193.3
2016-08-11,6,2464.5
2016-08-11,7,3429
2016-08-11,8,4032
2016-08-11,9,4590.4
2016-08-11,10,4947.2
2016-08-11,11,5198.8
2016-08-11,12,5150.5
2016-08-11,13,5173.4
2016-08-11,14,5198.3
2016-08-11,15,5128.9
2016-08-11,16,5018.2
2016-08-11,17,4820.3
2016-08-11,18,4734
2016-08-11,19,4634
2016-08-11,20,4397
2016-08-11,21,4063.4
2016-08-11,22,3649.7
2016-08-11,23,2850.3
2016-08-12,0,2257
2016-08-12,1,1988.4
2016-08-12,2,1899.3
2016-08-12,3,1862
2016-08-12,4,1888.5
2016-08-12,5,2245.9
2016-08-12,6,2526.2
2016-08-12,7,3430.8
2016-08-12,8,4016.4
2016-08-12,9,4545.3
2016-08-12,10,4915.4
2016-08-12,11,5081.8
2016-08-12,12,5016.9
2016-08-12,13,5249.8
2016-08-12,14,5098
2016-08-12,15,4965.5
2016-08-12,16,4906
2016-08-12,17,4699.4
2016-08-12,18,4500.2
2016-08-12,19,4075.7
2016-08-12,20,3773.7
2016-08-12,21,3519.3
2016-08-12,22,3086.5
2016-08-12,23,2492.4
2016-08-13,0,2050.2
2016-08-13,1,1906.3
2016-08-13,2,1881
2016-08-13,3,1852.5
2016-08-13,4,1842.5
2016-08-13,5,1953.9
2016-08-13,6,2064.7
2016-08-13,7,2097.3
2016-08-13,8,2202.9
2016-08-13,9,2397.7
2016-08-13,10,2541.8
2016-08-13,11,2491
2016-08-13,12,2595.4
2016-08-13,13,2596.3
2016-08-13,14,2608.4
2016-08-13,15,2635.8
2016-08-13,16,2714.9
2016-08-13,17,2709.2
2016-08-13,18,2626.3
2016-08-13,19,2506.9
2016-08-13,20,2450.3
2016-08-13,21,2275.5
2016-08-13,22,2004.9
2016-08-13,23,1849.8
2016-08-14,0,1796.5
2016-08-14,1,1763.4
2016-08-14,2,1728.2
2016-08-14,3,1731.2
2016-08-14,4,1720.2
2016-08-14,5,1852.3
2016-08-14,6,1997.9
2016-08-14,7,2545.7
2016-08-14,8,2606.8
2016-08-14,9,2656.4
2016-08-14,10,2636.3
2016-08-14,11,2521
2016-08-14,12,2455.9
2016-08-14,13,2465.3
2016-08-14,14,2560.5
2016-08-14,15,2459.5
2016-08-14,16,2437
2016-08-14,17,2495
2016-08-14,18,2612.5
2016-08-14,19,2617.5
2016-08-14,20,2614.9
2016-08-14,21,2518.8
2016-08-14,22,2067.5
2016-08-14,23,1782.5
2016-08-15,0,1697.4
2016-08-15,1,1686.7
2016-08-15,2,1652.7
2016-08-15,3,1652.3
2016-08-15,4,1697.4
2016-08-15,5,2132.7
2016-08-15,6,2426.2
2016-08-15,7,3314.8
2016-08-15,8,3789.9
2016-08-15,9,4374.2
2016-08-15,10,4674.7
2016-08-15,11,4804.2
2016-08-15,12,4926.2
2016-08-15,13,5103.3
2016-08-15,14,5104
2016-08-15,15,4959
2016-08-15,16,4808
2016-08-15,17,4667
2016-08-15,18,4514.4
2016-08-15,19,4262.8
2016-08-15,20,3989.5
2016-08-15,21,3553
2016-08-15,22,2809
2016-08-15,23,2268.4
2016-08-16,0,1900.7
2016-08-16,1,1791.2
2016-08-16,2,1783.8
2016-08-16,3,1772
2016-08-16,4,1815.4
2016-08-16,5,2192.7
2016-08-16,6,2510.3
2016-08-16,7,3452
2016-08-16,8,3928.5
2016-08-16,9,4449
2016-08-16,10,4538.4
2016-08-16,11,4854.7
2016-08-16,12,5082.7
2016-08-16,13,5217.2
2016-08-16,14,5249.2
2016-08-16,15,5064.7
2016-08-16,16,4894.3
2016-08-16,17,4726.9
2016-08-16,18,4879.7
2016-08-16,19,4717.8
2016-08-16,20,4387.9
2016-08-16,21,3988.2
2016-08-16,22,3571.2
2016-08-16,23,2528.8
2016-08-17,0,1994
2016-08-17,1,1897.5
2016-08-17,2,1862.4
2016-08-17,3,1855.3
2016-08-17,4,1907.9
2016-08-17,5,2302.3
2016-08-17,6,2527
2016-08-17,7,3252.4
2016-08-17,8,3813.2
2016-08-17,9,4396.3
2016-08-17,10,4892.4
2016-08-17,11,5269.8
2016-08-17,12,5283
2016-08-17,13,5099
2016-08-17,14,4907.4
2016-08-17,15,4906.8
2016-08-17,16,4769.9
2016-08-17,17,4668.8
2016-08-17,18,4466
2016-08-17,19,4255.5
2016-08-17,20,4085.4
2016-08-17,21,3661.2
2016-08-17,22,3099.7
2016-08-17,23,2338.7
2016-08-18,0,1839.8
2016-08-18,1,1724
2016-08-18,2,1709.9
2016-08-18,3,1704.8
2016-08-18,4,1752
2016-08-18,5,2140.9
2016-08-18,6,2494.7
2016-08-18,7,3321.2
2016-08-18,8,3755.7
2016-08-18,9,4348.2
2016-08-18,10,4633.2
2016-08-18,11,4917.3
2016-08-18,12,5008.4
2016-08-18,13,5212.8
2016-08-18,14,5250
2016-08-18,15,5217.5
2016-08-18,16,4945.4
2016-08-18,17,4770.2
2016-08-18,18,4563.3
2016-08-18,19,4342
2016-08-18,20,4213
2016-08-18,21,3975.8999999999996
2016-08-18,22,3572.8
2016-08-18,23,2890.5
2016-08-19,0,2076.9
2016-08-19,1,1830.2
2016-08-19,2,1803.7
2016-08-19,3,1811.8
2016-08-19,4,1858
2016-08-19,5,2209.5
2016-08-19,6,2486.4
2016-08-19,7,3042.2
2016-08-19,8,3579.7
2016-08-19,9,4126.8
2016-08-19,10,4638.5
2016-08-19,11,4939
2016-08-19,12,4969.5
2016-08-19,13,5167.9
2016-08-19,14,5164.3
2016-08-19,15,5112.4
2016-08-19,16,4882.7
2016-08-19,17,4576.7
2016-08-19,18,4274.8
2016-08-19,19,3917.4
2016-08-19,20,3485.7
2016-08-19,21,3157.8
2016-08-19,22,2752.4
2016-08-19,23,2413.8
2016-08-20,0,2153.5
2016-08-20,1,2017
2016-08-20,2,1809.9
2016-08-20,3,1785.8
2016-08-20,4,1765
2016-08-20,5,1940
2016-08-20,6,2051.5
2016-08-20,7,2135.5
2016-08-20,8,2254
2016-08-20,9,2494.5
2016-08-20,10,2576.9
2016-08-20,11,2637.3
2016-08-20,12,2665
2016-08-20,13,2689.9
2016-08-20,14,2675.3
2016-08-20,15,2687.5
2016-08-20,16,2732.4
2016-08-20,17,2599.7
2016-08-20,18,2518.2
2016-08-20,19,2345.8
2016-08-20,20,2272.5
2016-08-20,21,2117.5
2016-08-20,22,1832.5
2016-08-20,23,1739
2016-08-21,0,1707
2016-08-21,1,1670.4
2016-08-21,2,1655.2
2016-08-21,3,1695.8
2016-08-21,4,1689
2016-08-21,5,1854.5
2016-08-21,6,1993.9
2016-08-21,7,2553.7
2016-08-21,8,2599.8
2016-08-21,9,2586
2016-08-21,10,2599
2016-08-21,11,2588.9
2016-08-21,12,2565.7
2016-08-21,13,2493.2
2016-08-21,14,2512.3
2016-08-21,15,2508.9
2016-08-21,16,2533.2
2016-08-21,17,2567.8
2016-08-21,18,2873
2016-08-21,19,2903.9
2016-08-21,20,2872.2
2016-08-21,21,2516.7
2016-08-21,22,1996.3
2016-08-21,23,1778
2016-08-22,0,1709.5
2016-08-22,1,1691.5
2016-08-22,2,1695.4
2016-08-22,3,1705.3
2016-08-22,4,1716.4
2016-08-22,5,2045.3
2016-08-22,6,2318.4
2016-08-22,7,3267.8
2016-08-22,8,3995.9
2016-08-22,9,4646.2
2016-08-22,10,4899.2
2016-08-22,11,4960.8
2016-08-22,12,4843.9
2016-08-22,13,5070.3
2016-08-22,14,5173.5
2016-08-22,15,5024.4
2016-08-22,16,4768.3
2016-08-22,17,4625
2016-08-22,18,4406.5
2016-08-22,19,4000
2016-08-22,20,3796.9
2016-08-22,21,3474.7
2016-08-22,22,2701.3
2016-08-22,23,2088.4
2016-08-23,0,1785.2
2016-08-23,1,1714.3
2016-08-23,2,1725.9
2016-08-23,3,1725.8
2016-08-23,4,1760
2016-08-23,5,2134.4
2016-08-23,6,2449.3
2016-08-23,7,3352.5
2016-08-23,8,3853.4
2016-08-23,9,4481.3
2016-08-23,10,4771.9
2016-08-23,11,5089.8
2016-08-23,12,5139.9
2016-08-23,13,5152.8
2016-08-23,14,5155.4
2016-08-23,15,5056.3
2016-08-23,16,4888.4
2016-08-23,17,4712.7
2016-08-23,18,4609.8
2016-08-23,19,4394.4
2016-08-23,20,4149.2
2016-08-23,21,3722.3
2016-08-23,22,3165
2016-08-23,23,2369
2016-08-24,0,1857.4
2016-08-24,1,1749.3
2016-08-24,2,1741.5
2016-08-24,3,1743
2016-08-24,4,1797.4
2016-08-24,5,2138.3
2016-08-24,6,2428.4
2016-08-24,7,3371.8
2016-08-24,8,4020.9
2016-08-24,9,4534.3
2016-08-24,10,4990
2016-08-24,11,5167
2016-08-24,12,5148.9
2016-08-24,13,5156.8
2016-08-24,14,5109.4
2016-08-24,15,4924.7
2016-08-24,16,4775.3
2016-08-24,17,4660.9
2016-08-24,18,4471.8
2016-08-24,19,4151
2016-08-24,20,3876
2016-08-24,21,3551.5
2016-08-24,22,3103.4
2016-08-24,23,2312.7
2016-08-25,0,1840.2
2016-08-25,1,1746.7
2016-08-25,2,1734.8
2016-08-25,3,1741.9
2016-08-25,4,1797.7
2016-08-25,5,2189.3
2016-08-25,6,2469.4
2016-08-25,7,3378.3
2016-08-25,8,3908.5
2016-08-25,9,4647
2016-08-25,10,4984.5
2016-08-25,11,5009
2016-08-25,12,5013.9
2016-08-25,13,5214.3
2016-08-25,14,5199
2016-08-25,15,4901.4
2016-08-25,16,4833.7
2016-08-25,17,4756.3
2016-08-25,18,4629
2016-08-25,19,4516.5
2016-08-25,20,4259.9
2016-08-25,21,3952.8
2016-08-25,22,3284.4
2016-08-25,23,2343.8
2016-08-26,0,1865
2016-08-26,1,1725.9
2016-08-26,2,1693.8
2016-08-26,3,1704.4
2016-08-26,4,1751.8
2016-08-26,5,2114.9
2016-08-26,6,2443.3
2016-08-26,7,3399
2016-08-26,8,4098.4
2016-08-26,9,4657.7
2016-08-26,10,4913.8
2016-08-26,11,5030.9
2016-08-26,12,4982.8
2016-08-26,13,5163.5
2016-08-26,14,5121
2016-08-26,15,4850
2016-08-26,16,4738.4
2016-08-26,17,4590.7
2016-08-26,18,4317.8
2016-08-26,19,4074
2016-08-26,20,3963.3999999999996
2016-08-26,21,3754.7
2016-08-26,22,3301.2
2016-08-26,23,2483.3
2016-08-27,0,1938.4
2016-08-27,1,1850.3
2016-08-27,2,1817
2016-08-27,3,1807
2016-08-27,4,1800.5
2016-08-27,5,1936.9
2016-08-27,6,2041.7
2016-08-27,7,2111.3
2016-08-27,8,2275
2016-08-27,9,2507.9
2016-08-27,10,2573.7
2016-08-27,11,2704.2
2016-08-27,12,2721.7
2016-08-27,13,2656.2
2016-08-27,14,2677.7
2016-08-27,15,2616.8
2016-08-27,16,2648.4
2016-08-27,17,2719.7
2016-08-27,18,2807.7
2016-08-27,19,2792.8
2016-08-27,20,2648
2016-08-27,21,2451.9
2016-08-27,22,2181.3
2016-08-27,23,2116.4
2016-08-28,0,2035.8
2016-08-28,1,1777.9
2016-08-28,2,1684.7
2016-08-28,3,1722.7
2016-08-28,4,1721.3
2016-08-28,5,1872
2016-08-28,6,2011.9
2016-08-28,7,2564.7
2016-08-28,8,2593.7
2016-08-28,9,2580.3
2016-08-28,10,2615.4
2016-08-28,11,2581.8
2016-08-28,12,2471.4
2016-08-28,13,2371.7
2016-08-28,14,2272.7
2016-08-28,15,2326.7
2016-08-28,16,2347.2
2016-08-28,17,2386.3
2016-08-28,18,2504.4
2016-08-28,19,2499.3
2016-08-28,20,2520.5
2016-08-28,21,2523.9
2016-08-28,22,2136.3
2016-08-28,23,1861.9
2016-08-29,0,1785.3
2016-08-29,1,1799.4
2016-08-29,2,1813.8
2016-08-29,3,1792
2016-08-29,4,1790
2016-08-29,5,2092
2016-08-29,6,2363
2016-08-29,7,3319.4
2016-08-29,8,3860.7
2016-08-29,9,4416.7
2016-08-29,10,4688.3
2016-08-29,11,4745.5
2016-08-29,12,4875.9
2016-08-29,13,5077.7
2016-08-29,14,5103.3
2016-08-29,15,4995
2016-08-29,16,4784.4
2016-08-29,17,4684.7
2016-08-29,18,4277.3
2016-08-29,19,3917.4
2016-08-29,20,3810.3
2016-08-29,21,3704.9
2016-08-29,22,3302.7
2016-08-29,23,2517.7
2016-08-30,0,1916.2
2016-08-30,1,1778.7
2016-08-30,2,1780.3
2016-08-30,3,1775.4
2016-08-30,4,1851.2
2016-08-30,5,2207.2
2016-08-30,6,2449.2
2016-08-30,7,3215.3
2016-08-30,8,3786
2016-08-30,9,4502
2016-08-30,10,5012.4
2016-08-30,11,5247.2
2016-08-30,12,5327.2
2016-08-30,13,5485.3
2016-08-30,14,5704.4
2016-08-30,15,5515.8
2016-08-30,16,5210.5
2016-08-30,17,5029.5
2016-08-30,18,4782.5
2016-08-30,19,4502
2016-08-30,20,4202.5
2016-08-30,21,3809.5
2016-08-30,22,3172.4
2016-08-30,23,2378.7
2016-08-31,0,1945.2
2016-08-31,1,1841.3
2016-08-31,2,1840.4
2016-08-31,3,1825.8
2016-08-31,4,1856
2016-08-31,5,2204
2016-08-31,6,2451
2016-08-31,7,3123
2016-08-31,8,3776
2016-08-31,9,4464.9
2016-08-31,10,4863.3
2016-08-31,11,5193.4
2016-08-31,12,5287.3
2016-08-31,13,5352.4
2016-08-31,14,5324.3
2016-08-31,15,5182.9
2016-08-31,16,4980.7
2016-08-31,17,4801.2
2016-08-31,18,4548.3
2016-08-31,19,4207.4
2016-08-31,20,4057.8
2016-08-31,21,3792
2016-08-31,22,3077
2016-08-31,23,2310.4
2016-09-01,0,1922.7
2016-09-01,1,1849.2
2016-09-01,2,1832.8
2016-09-01,3,1786.9
2016-09-01,4,1841.3
2016-09-01,5,2199.4
2016-09-01,6,2456.7
2016-09-01,7,3142.7
2016-09-01,8,3817.8
2016-09-01,9,4551
2016-09-01,10,4978
2016-09-01,11,5110
2016-09-01,12,5095.9
2016-09-01,13,5402.3
2016-09-01,14,5372.4
2016-09-01,15,5188.3
2016-09-01,16,5006.4
2016-09-01,17,4862.2
2016-09-01,18,5129.8
2016-09-01,19,4739.5
2016-09-01,20,4294
2016-09-01,21,3897
2016-09-01,22,3229
2016-09-01,23,2512
2016-09-02,0,2034.5
2016-09-02,1,1862
2016-09-02,2,1824.5
2016-09-02,3,1806.5
2016-09-02,4,1844
2016-09-02,5,2205.4
2016-09-02,6,2502.7
2016-09-02,7,3228.3
2016-09-02,8,3867.9
2016-09-02,9,4523.2
2016-09-02,10,4866.8
2016-09-02,11,5062.9
2016-09-02,12,5100.8
2016-09-02,13,5133.4
2016-09-02,14,5177.3
2016-09-02,15,5008
2016-09-02,16,4828.9
2016-09-02,17,4672.8
2016-09-02,18,4277.9
2016-09-02,19,3772.2
2016-09-02,20,3391.2
2016-09-02,21,3118.8
2016-09-02,22,2612
2016-09-02,23,2316.4
2016-09-03,0,2042.2
2016-09-03,1,1939.3
2016-09-03,2,1939
2016-09-03,3,1925.5
2016-09-03,4,1911.9
2016-09-03,5,1999.8
2016-09-03,6,2092.4
2016-09-03,7,2162.7
2016-09-03,8,2302.2
2016-09-03,9,2471.3
2016-09-03,10,2547.9
2016-09-03,11,2600.3
2016-09-03,12,2563.9
2016-09-03,13,2532.2
2016-09-03,14,2500.8
2016-09-03,15,2577.5
2016-09-03,16,2647.4
2016-09-03,17,2513.3
2016-09-03,18,2475.4
2016-09-03,19,2361.3
2016-09-03,20,2268.9
2016-09-03,21,2092.2
2016-09-03,22,1844.2
2016-09-03,23,1753.7
2016-09-04,0,1697.2
2016-09-04,1,1679.7
2016-09-04,2,1663.3
2016-09-04,3,1648.4
2016-09-04,4,1711.8
2016-09-04,5,1888.5
2016-09-04,6,2025.5
2016-09-04,7,2478.5
2016-09-04,8,2495.5
2016-09-04,9,2449.5
2016-09-04,10,2430.9
2016-09-04,11,2405.7
2016-09-04,12,2384.8
2016-09-04,13,2396.5
2016-09-04,14,2445.5
2016-09-04,15,2463.9
2016-09-04,16,2486.2
2016-09-04,17,2499.8
2016-09-04,18,2625.9
2016-09-04,19,2550.8
2016-09-04,20,2556.4
2016-09-04,21,2408.3
2016-09-04,22,2009
2016-09-04,23,1714
2016-09-05,0,1645
2016-09-05,1,1630.9
2016-09-05,2,1623.3
2016-09-05,3,1628
2016-09-05,4,1684.9
2016-09-05,5,2087.2
2016-09-05,6,2318.7
2016-09-05,7,3062.7
2016-09-05,8,3578.8
2016-09-05,9,4163.4
2016-09-05,10,4636.8
2016-09-05,11,4809.9
2016-09-05,12,4919.3
2016-09-05,13,5069.5
2016-09-05,14,5177.5
2016-09-05,15,5065.9
2016-09-05,16,4891.3
2016-09-05,17,4701
2016-09-05,18,4430
2016-09-05,19,4033.5
2016-09-05,20,3687.5
2016-09-05,21,3420.5
2016-09-05,22,2959
2016-09-05,23,2277
2016-09-06,0,1869
2016-09-06,1,1791.9
2016-09-06,2,1770.8
2016-09-06,3,1751.4
2016-09-06,4,1811.7
2016-09-06,5,2178.8
2016-09-06,6,2437.4
2016-09-06,7,3184.2
2016-09-06,8,3849.2
2016-09-06,9,4513.7
2016-09-06,10,4781.7
2016-09-06,11,4960.2
2016-09-06,12,4922.2
2016-09-06,13,5137.7
2016-09-06,14,5348.2
2016-09-06,15,5232.8
2016-09-06,16,5079.5
